implementation,selected_k,test_samples,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,fit_seconds,prediction_seconds,milliseconds_per_sample
custom,19,6000,4404,269,878,449,0.8088333333333333,0.6253481894150418,0.3383571966842502,0.9424352664241387,0.439119804400978,0.6403962315541945,0.7352925002793873,0.4853371291335927,0.0013743999879807234,32.76736300002085,5.461227166670142
sklearn,19,6000,4406,267,878,449,0.8091666666666667,0.6270949720670391,0.3383571966842502,0.9428632570083458,0.43954968184043075,0.640610226846298,0.7353957082574929,0.4854755333702633,0.0011660000018309802,0.4620271000021603,0.07700451666702672
weka,19,6000,4405,268,878,449,0.809,0.6262203626220363,0.3383571966842502,0.9426492617162422,0.43933463796477495,0.6405032292002462,0.7353118517752821,0.48560898312501866,8.1367829,3.4384448,0.5730741333333333
